roundID,subjectID,numSelected,payoff
1,e1,6,20
2,e1,1,90
3,e1,1,160
4,e1,5,230
5,e1,6,290
6,e1,6,350
7,e1,2,430
8,e1,4,530
9,e1,5,640
10,e1,2,720
1,e21,6,60
2,e21,4,140
3,e21,1,140
4,e21,3,185
5,e21,2,185
6,e21,6,285
7,e21,5,395
8,e21,6,515
9,e21,4,515
10,e21,2,515
1,sarah,2,0
2,sarah,6,40
1,misslins,6,60
2,misslins,5,85
3,sarah,5,40
3,misslins,1,85
4,misslins,6,165
4,sarah,4,140
5,misslins,5,275
6,misslins,2,275
5,sarah,3,185
7,misslins,2,275
8,misslins,3,275
9,misslins,7,385
6,sarah,2,185
10,misslins,7,515
7,sarah,5,295
8,sarah,5,350
9,sarah,6,470
10,sarah,4,470
1,Olive33,3,90
2,Olive33,4,90
3,Olive33,1,125
4,Olive33,2,165
5,Olive33,3,165
6,Olive33,4,265
7,Olive33,4,315
8,Olive33,4,365
9,Olive33,4,365
10,Olive33,4,365
1,Donut,7,30
2,Donut,7,80
3,Donut,7,130
4,Donut,7,200
5,Donut,7,200
6,Donut,7,290
7,Donut,7,360
8,Donut,7,450
9,Donut,7,560
10,Donut,7,690
1,capricorngirl,1,70
2,capricorngirl,5,140
3,capricorngirl,4,220
4,capricorngirl,6,280
5,capricorngirl,2,360
6,capricorngirl,4,460
7,capricorngirl,6,560
8,capricorngirl,3,650
9,capricorngirl,4,750
10,capricorngirl,7,880
1,Ryan,7,30
2,Ryan,7,80
3,Ryan,7,80
4,Ryan,7,150
5,Ryan,7,185
6,Ryan,7,220
7,Ryan,7,310
8,Ryan,7,420
9,Ryan,7,530
10,Ryan,7,660
1,catlady,3,70
2,catlady,3,115
3,catlady,3,115
4,catlady,5,150
5,catlady,4,250
6,catlady,1,250
7,catlady,7,340
8,catlady,7,450
9,catlady,6,570
10,catlady,7,700
1,Bob,5,50
2,Bob,7,100
3,Bob,5,170
4,Bob,5,240
5,Bob,5,310
6,Bob,6,390
7,Bob,6,490
8,Bob,7,580
9,Bob,7,690
10,Bob,7,820
1,windy,7,10
2,windy,2,70
3,windy,4,150
4,windy,3,240
5,windy,2,320
6,windy,3,410
7,windy,7,500
8,windy,4,600
9,windy,6,720
10,windy,6,840
1,katy,5,30
2,katy,7,40
3,katy,2,120
4,katy,3,190
5,katy,5,260
6,katy,5,370
7,katy,7,460
8,katy,4,560
9,katy,1,630
10,katy,2,710
1,dconti62,7,30
2,dconti62,4,70
3,dconti62,3,140
4,dconti62,2,220
5,dconti62,1,290
6,dconti62,2,370
7,dconti62,2,450
8,dconti62,5,560
9,dconti62,6,680
10,dconti62,7,810
1,Tall Man,5,50
2,Tall Man,7,80
3,Tall Man,2,160
4,Tall Man,1,230
5,Tall Man,7,300
6,Tall Man,1,370
7,Tall Man,2,450
8,Tall Man,1,520
9,Tall Man,7,630
10,Tall Man,6,750
1,NEPATS,4,30
2,NEPATS,3,30
3,NEPATS,1,30
4,NEPATS,2,30
5,NEPATS,2,70
6,NEPATS,2,70
7,NEPATS,7,160
8,NEPATS,6,210
9,NEPATS,7,320
10,NEPATS,7,450
1,b367,6,40
2,b367,5,90
3,b367,5,125
4,b367,6,155
5,b367,5,265
6,b367,7,300
7,b367,6,400
8,b367,6,520
9,b367,7,630
10,b367,6,750
1,Tim,5,70
2,Tim,6,100
3,Tim,4,180
4,Tim,4,220
5,Tim,4,270
6,Tim,5,315
7,Tim,5,425
8,Tim,5,480
9,Tim,6,600
10,Tim,6,660
1,Jo,7,50
2,Jo,7,120
3,Jo,7,190
4,Jo,7,260
5,Jo,7,330
6,Jo,7,400
7,Jo,6,440
8,Jo,6,540
9,Jo,6,660
10,Jo,7,790
1,c985,5,50
2,c985,4,130
3,c985,3,220
4,c985,4,260
5,c985,2,340
6,c985,3,430
7,c985,4,530
8,c985,5,640
9,c985,6,760
10,c985,7,890
1,Shabba,5,15
2,Shabba,3,105
3,Shabba,2,145
4,Shabba,3,235
5,Shabba,3,235
6,Shabba,5,345
7,Shabba,5,455
8,Shabba,6,505
9,Shabba,5,560
10,Shabba,6,680
1,Ale99,4,60
2,Ale99,3,150
3,Ale99,3,240
4,Ale99,4,320
5,Ale99,4,420
6,Ale99,4,470
7,Ale99,5,580
8,Ale99,5,635
9,Ale99,6,755
10,Ale99,6,875
1,bjs1109,3,70
2,bjs1109,3,140
3,bjs1109,3,230
4,bjs1109,4,330
5,bjs1109,4,330
6,bjs1109,4,430
7,bjs1109,5,540
8,bjs1109,4,590
9,bjs1109,5,645
10,bjs1109,4,645
1,Cmarti,7,0
2,Cmarti,2,40
3,Cmarti,3,130
4,Cmarti,3,220
5,Cmarti,1,220
6,Cmarti,4,220
7,Cmarti,2,220
